srcStateName,srcYear,srcMonth,Settlement of Integrated goods and services tax ( IGST ),YearCode,Year,MonthCode,Month
Uttarakhand,2017-18,Dec - 2017,38.1013922,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Punjab,2017-18,Dec - 2017,466.5992976,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Himachal Pradesh,2017-18,Dec - 2017,91.6474698,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Tamil Nadu,2017-18,Dec - 2017,1249.4496549,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Andaman and Nicobar Islands,2017-18,Dec - 2017,11.5861688,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Andhra Pradesh,2017-18,Dec - 2017,636.9552157,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Telangana,2017-18,Dec - 2017,768.0167187,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Lakshadweep,2017-18,Dec - 2017,0.3294455,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Goa,2017-18,Dec - 2017,67.0417705,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Puducherry,2017-18,Dec - 2017,29.7880134,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Tripura,2017-18,Dec - 2017,44.3228879,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Mizoram,2017-18,Dec - 2017,20.481412,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Manipur,2017-18,Dec - 2017,28.7596799,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Kerala,2017-18,Dec - 2017,795.9455212,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Nagaland,2017-18,Dec - 2017,19.3845375,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Arunachal Pradesh,2017-18,Dec - 2017,21.69439,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Sikkim,2017-18,Dec - 2017,10.7436212,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Bihar,2017-18,Dec - 2017,565.2158053,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Uttar Pradesh,2017-18,Dec - 2017,1637.8167242,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Rajasthan,2017-18,Dec - 2017,758.1343006,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Delhi,2017-18,Dec - 2017,695.9459706,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Haryana,2017-18,Dec - 2017,380.4468636,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
Chhattisgarh,2017-18,Dec - 2017,185.2418802,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017"
West Bengal,2017-18,Nov - 2017,737.191482,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Jammu and Kashmir,2017-18,Nov - 2017,209.2640667,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Tamil Nadu,2017-18,Nov - 2017,963.8744962,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Kerala,2017-18,Nov - 2017,801.360586,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Goa,2017-18,Nov - 2017,55.9639125,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Maharashtra,2017-18,Nov - 2017,1678.1984419,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Karnataka,2017-18,Nov - 2017,1190.3280963,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Dadra and Nagar Haveli,2017-18,Nov - 2017,15.994739,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Daman and Diu,2017-18,Nov - 2017,3.2310195,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Gujarat,2017-18,Nov - 2017,602.3443531,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Madhya Pradesh,2017-18,Nov - 2017,628.5280066,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Chhattisgarh,2017-18,Nov - 2017,189.9101374,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Odisha,2017-18,Nov - 2017,282.8928678,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Jharkhand,2017-18,Nov - 2017,156.3578321,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Meghalaya,2017-18,Nov - 2017,25.3175235,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Tripura,2017-18,Nov - 2017,34.1639998,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Lakshadweep,2017-18,Nov - 2017,0.2504515,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Andhra Pradesh,2017-18,Nov - 2017,637.8461399,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Telangana,2017-18,Nov - 2017,798.5656718,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Haryana,2017-18,Nov - 2017,152.6402818,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Assam,2017-18,Nov - 2017,255.5112174,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Himachal Pradesh,2017-18,Nov - 2017,107.9755191,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Punjab,2017-18,Nov - 2017,488.6274136,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Chandigarh,2017-18,Nov - 2017,57.516165,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Uttarakhand,2017-18,Nov - 2017,27.9778129,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Andaman and Nicobar Islands,2017-18,Nov - 2017,8.0718455,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Nagaland,2017-18,Nov - 2017,16.5077745,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Manipur,2017-18,Nov - 2017,24.7376419,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Mizoram,2017-18,Nov - 2017,13.9832878,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Sikkim,2017-18,Nov - 2017,10.4368823,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Bihar,2017-18,Nov - 2017,528.4421554,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Uttar Pradesh,2017-18,Nov - 2017,1689.8046624,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Rajasthan,2017-18,Nov - 2017,684.0857072,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017"
Assam,2017-18,Oct - 2017,236.574922067,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
West Bengal,2017-18,Oct - 2017,734.761652593,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Jharkhand,2017-18,Oct - 2017,125.768509918,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Gujarat,2017-18,Oct - 2017,724.973432957,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Dadra and Nagar Haveli,2017-18,Oct - 2017,5.115103332,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Odisha,2017-18,Oct - 2017,331.197252548,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Daman and Diu,2017-18,Oct - 2017,-2.923464042,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
Meghalaya,2017-18,Oct - 2017,24.890691734,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017"
