ROWID,Country,State LGD Code,State,YearCode,Year,MonthCode,Month,Settlement of Integrated goods and services tax ( IGST )
1,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017",81.59182608463141458532126642971
2,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017",139.444544324720662974461301021
3,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017",191.53949005206351772758800221801
4,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017",204.687282599666852772089519229
5,India,1,Jammu And Kashmir,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017",182.624871964343120036806950097
6,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201801,"January, 2018",219.619016741375424976180812449
7,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018",176.447123313742791617945006009
8,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201803,"March, 2018",174.910004513354139785780181327
9,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018",204.957129944077688265884795386
10,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201805,"May, 2018",192.573320499154824595090417686
11,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201806,"June, 2018",213.416629506682033492574831496
12,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",213.024797818177203611274767586
13,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",220.84348802527889632229988318427
14,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",216.110333397454490770141127572
15,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",221.094746396003660545345089565
16,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",259.769781948593311922914556228
17,India,1,Jammu And Kashmir,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",228.050197606792293176960732006
18,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",221.791969957351134675225279623
19,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",163.70840473718940290278063575767
20,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",263.232941499295479847749868626
21,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",246.97016158792906829013467182
22,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",240.003154857236625033433990886
23,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",265.784563622061465388968296433
24,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201907,"July, 2019",278.9230624002794925124899825
25,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201908,"August, 2019",165.73160935249630157510689181426767
26,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201909,"September, 2019",121.500977612924997739673239185
27,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201910,"October, 2019",125.011784279593474425752081458
28,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201911,"November, 2019",194.484740664076369423533291077
29,India,1,Jammu And Kashmir,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019",337.45455495769099572015
30,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",267.02925653173809226551
31,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202002,"February, 2020",249.911996497652317120285
32,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202003,"March, 2020",207.153680134420158290133176562
33,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020",32.69
34,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202005,"May, 2020",101.31
35,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202006,"June, 2020",144
36,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202007,"July, 2020",277.354471841
37,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202008,"August, 2020",238.844346009
38,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202009,"September, 2020",293.845225273
39,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202010,"October, 2020",401.258447338
40,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",299.749336191
41,India,1,Jammu And Kashmir,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",311.411794745
42,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202101,"January, 2021",290.923992
43,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202102,"February, 2021",243.669495542
44,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202103,"March, 2021",251.48657466
45,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021",364.379359451
46,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202105,"May, 2021",181.405530964
47,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202106,"June, 2021",246.869929699
48,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202107,"July, 2021",431.257782373
49,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202108,"August, 2021",378.824326552
50,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202109,"September, 2021",350.445064012
51,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202110,"October, 2021",337.461065639
52,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202111,"November, 2021",343.882678289
53,India,1,Jammu And Kashmir,2021,"Calendar Year (Jan - Dec), 2021",202112,"December, 2021",305.476158497
54,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022",405.974306203
55,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202202,"February, 2022",304.340633362
56,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022",332.055667398
57,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022",429.400351476
58,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202205,"May, 2022",340.747415491
59,India,1,Jammu And Kashmir,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022",360.83231975
60,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017",63.515337668
61,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017",68.5992304
62,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017",75.951647506
63,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017",107.9755191
64,India,2,Himachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017",91.6474698
65,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201801,"January, 2018",105.6253327
66,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018",89.3946239
67,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201803,"March, 2018",89.8820517
68,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018",100.0167996
69,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201805,"May, 2018",85.8309654
70,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201806,"June, 2018",120.3761358
71,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",108.2997529
72,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",103.986185991
73,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",102.9907702
74,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",94.861841
75,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",124.6440379
76,India,2,Himachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",115.7950392
77,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",104.6438089
78,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",100.176648125
79,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",91.0478619
80,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",115.6907851
81,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",129.4196465
82,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",137.0526634
83,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201907,"July, 2019",155.9223141
84,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201908,"August, 2019",123.605312444909
85,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201909,"September, 2019",156.2582484
86,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201910,"October, 2019",112.3441054
87,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201911,"November, 2019",181.1541832
88,India,2,Himachal Pradesh,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019",149
89,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",140
90,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202002,"February, 2020",137
91,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202003,"March, 2020",131.708029
92,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020",13.61
93,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202005,"May, 2020",45.92
94,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202006,"June, 2020",79.4
95,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202007,"July, 2020",166.388350928
96,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202008,"August, 2020",157.447418716
97,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202009,"September, 2020",167.951812362
98,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202010,"October, 2020",207.213147363
99,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",167.548641753
100,India,2,Himachal Pradesh,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",198.760102492
101,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202101,"January, 2021",183.702718143
102,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202102,"February, 2021",130.659894341
103,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202103,"March, 2021",120.930031504
104,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021",232.039559278
105,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202105,"May, 2021",77.097243507
106,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202106,"June, 2021",129.259089355
107,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202107,"July, 2021",291.803914669
108,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202108,"August, 2021",224.673427581
109,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202109,"September, 2021",195.562854166
110,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202110,"October, 2021",230.621708585
111,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202111,"November, 2021",216.701358812
112,India,2,Himachal Pradesh,2021,"Calendar Year (Jan - Dec), 2021",202112,"December, 2021",174.679550188
113,India,2,Himachal Pradesh,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022",256.521663692
114,India,2,Himachal Pradesh,2022,"Calendar Year (Jan - Dec), 2022",202202,"February, 2022",169.668184844
115,India,2,Himachal Pradesh,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022",203.675094714
116,India,2,Himachal Pradesh,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022",302.2285724
117,India,2,Himachal Pradesh,2022,"Calendar Year (Jan - Dec), 2022",202205,"May, 2022",242.847638588
118,India,2,Himachal Pradesh,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022",206.568407855
119,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017",277.15933738
120,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017",449.5899493
121,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017",478.661802838
122,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017",488.6274136
123,India,3,Punjab,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017",466.5992976
124,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201801,"January, 2018",525.9906628
125,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018",498.9236344
126,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201803,"March, 2018",478.4475321
127,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018",516.8904599
128,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201805,"May, 2018",382.5705363
129,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201806,"June, 2018",472.6300906
130,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",503.5001097
131,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",474.052911374
132,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",533.6120118
133,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",499.6108604
134,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",445.9062022
135,India,3,Punjab,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",510.330392
136,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",486.3315549
137,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",512.907797568
138,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",478.8259071
139,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",533.6755551
140,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",498.3376177
141,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",468.7935831
142,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201907,"July, 2019",717.3870302
143,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201908,"August, 2019",519.504236272186
144,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201909,"September, 2019",562.9245878
145,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201910,"October, 2019",449.4191705
146,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201911,"November, 2019",541.5681827
147,India,3,Punjab,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019",501
148,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",625
149,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202002,"February, 2020",619.7
150,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202003,"March, 2020",528.5938859
151,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020",54.34
152,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202005,"May, 2020",273.36
153,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202006,"June, 2020",361.6
154,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202007,"July, 2020",613.746691192
155,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202008,"August, 2020",530.117244209
156,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202009,"September, 2020",571.507300892
157,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202010,"October, 2020",522.762813411
158,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",518.960216997
159,India,3,Punjab,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",535.529318074
160,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202101,"January, 2021",619.657995701
161,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202102,"February, 2021",543.027682403
162,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202103,"March, 2021",576.981817316
163,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021",753.154644277
164,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202105,"May, 2021",409.218982642
165,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202106,"June, 2021",676.754112921
166,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202107,"July, 2021",858.179364068
167,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202108,"August, 2021",848.691649154
168,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202109,"September, 2021",798.011615012
169,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202110,"October, 2021",628.57483798
170,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202111,"November, 2021",672.825631121
171,India,3,Punjab,2021,"Calendar Year (Jan - Dec), 2021",202112,"December, 2021",647.742470221
172,India,3,Punjab,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022",813.976837399
173,India,3,Punjab,2022,"Calendar Year (Jan - Dec), 2022",202202,"February, 2022",790.153941952
174,India,3,Punjab,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022",749.282965257
175,India,3,Punjab,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022",947.102136475
176,India,3,Punjab,2022,"Calendar Year (Jan - Dec), 2022",202205,"May, 2022",747.087365159
177,India,3,Punjab,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022",750.222646842
178,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017",34.907894399
179,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017",56.4019194
180,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017",64.695050165
181,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017",57.516165
182,India,4,Chandigarh,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017",60.3601771
183,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201801,"January, 2018",63.5817111
184,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018",56.8274966
185,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201803,"March, 2018",59.4119343
186,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018",67.1868713
187,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201805,"May, 2018",52.4781904
188,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201806,"June, 2018",63.2744606
189,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",68.8439899
190,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",72.287204008
191,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",63.7089739
192,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",66.8343376
193,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",73.3440671
194,India,4,Chandigarh,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",75.2340284
195,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",70.5782546
196,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",68.690290554
197,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",66.5564157
198,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",65.3740886
199,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",75.1019699
200,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",64.9192522
201,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201907,"July, 2019",66.1137735
202,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201908,"August, 2019",60.9759898589253
203,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201909,"September, 2019",67.4717687
204,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201910,"October, 2019",57.9297598
205,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201911,"November, 2019",85.1474176
206,India,4,Chandigarh,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019",64
207,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202001,"January, 2020",86
208,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202002,"February, 2020",71.5
209,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202003,"March, 2020",60.8701632
210,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020",4.58
211,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202005,"May, 2020",21.47
212,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202006,"June, 2020",36.1
213,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202007,"July, 2020",71.377330648
214,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202008,"August, 2020",57.8358117
215,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202009,"September, 2020",68.856405416
216,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202010,"October, 2020",57.15096026
217,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202011,"November, 2020",70.30211254
218,India,4,Chandigarh,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020",81.943633644
219,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202101,"January, 2021",72.728780466
220,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202102,"February, 2021",67.981865328
221,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202103,"March, 2021",73.154576404
222,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202104,"April, 2021",96.329720944
223,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202105,"May, 2021",40.327285741
224,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202106,"June, 2021",54.040339598
225,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202107,"July, 2021",93.584254612
226,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202108,"August, 2021",102.597321994
227,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202109,"September, 2021",91.465108042
228,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202110,"October, 2021",92.280232048
229,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202111,"November, 2021",102.87332026
230,India,4,Chandigarh,2021,"Calendar Year (Jan - Dec), 2021",202112,"December, 2021",81.997319232
231,India,4,Chandigarh,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022",117.897506564
232,India,4,Chandigarh,2022,"Calendar Year (Jan - Dec), 2022",202202,"February, 2022",88.049452377
233,India,4,Chandigarh,2022,"Calendar Year (Jan - Dec), 2022",202203,"March, 2022",104.545366688
234,India,4,Chandigarh,2022,"Calendar Year (Jan - Dec), 2022",202204,"April, 2022",114.52155706
235,India,4,Chandigarh,2022,"Calendar Year (Jan - Dec), 2022",202205,"May, 2022",107.931947338
236,India,4,Chandigarh,2022,"Calendar Year (Jan - Dec), 2022",202206,"June, 2022",96.341687288
237,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",201708,"August, 2017",-40.988784233
238,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",201709,"September, 2017",-21.5711008
239,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",201710,"October, 2017",-9.868357559
240,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",201711,"November, 2017",27.9778129
241,India,5,Uttarakhand,2017,"Calendar Year (Jan - Dec), 2017",201712,"December, 2017",38.1013922
242,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201801,"January, 2018",80.0718263
243,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201802,"February, 2018",23.0583717
244,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201803,"March, 2018",8.125983
245,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018",-10.3877931
246,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201805,"May, 2018",-5.5165237
247,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201806,"June, 2018",17.0019006
248,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201807,"July, 2018",3.589928
249,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201808,"August, 2018",0.096009885
250,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201809,"September, 2018",20.5066223
251,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201810,"October, 2018",5.8788183
252,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201811,"November, 2018",66.8565171
253,India,5,Uttarakhand,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018",101.0666406
254,India,5,Uttarakhand,2019,"Calendar Year (Jan - Dec), 2019",201901,"January, 2019",40.9664712
255,India,5,Uttarakhand,2019,"Calendar Year (Jan - Dec), 2019",201902,"February, 2019",-48.008395976
256,India,5,Uttarakhand,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019",31.5674803
257,India,5,Uttarakhand,2019,"Calendar Year (Jan - Dec), 2019",201904,"April, 2019",71.3555027
258,India,5,Uttarakhand,2019,"Calendar Year (Jan - Dec), 2019",201905,"May, 2019",92.1079007
259,India,5,Uttarakhand,2019,"Calendar Year (Jan - Dec), 2019",201906,"June, 2019",75.3313238
