srcStateName,srcYear,srcMonth,Type of supply,E-way suppliers,E-way bills,E-way asset value,YearCode,Year,MonthCode,Month
MANIPUR,2018-19,Dec - 2018,Intra State,38,2769,460159799.67,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
NAGALAND,2018-19,Dec - 2018,Intra State,53,541,145080851.91,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
ARUNACHAL PRADESH,2018-19,Dec - 2018,Intra State,91,2430,369022719.45,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
SIKKIM,2018-19,Dec - 2018,Intra State,106,3367,535768918.16,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
BIHAR,2018-19,Dec - 2018,Intra State,4663,224628,55245368505.99,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
UTTAR PRADESH,2018-19,Dec - 2018,Intra State,99385,2802472,564217931198.91,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
RAJASTHAN,2018-19,Dec - 2018,Intra State,60073,1282999,285044016640.49,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
DELHI,2018-19,Dec - 2018,Intra State,53839,782708,300870928540.93,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
HARYANA,2018-19,Dec - 2018,Intra State,57906,2267999,456578713248.55,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
UTTARAKHAND,2018-19,Dec - 2018,Intra State,9989,459029,77091767861.7,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
CHANDIGARH,2018-19,Dec - 2018,Intra State,2185,25195,4064275490.41,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
PUNJAB,2018-19,Dec - 2018,Intra State,51278,1183608,292995449344.88,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
HIMACHAL PRADESH,2018-19,Dec - 2018,Intra State,6642,217432,40069968032.92,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
JAMMU AND KASHMIR,2018-19,Dec - 2018,Intra State,4231,130554,22500537383.77,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
SIKKIM,2018-19,Dec - 2018,Inter State Inwards,1448,24366,7386426576.09,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
ANDHRA PRADESH,2018-19,Dec - 2018,Inter State Inwards,66647,860638,285071897979.17,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
TELANGANA,2018-19,Dec - 2018,Inter State Inwards,51765,745125,282436451334.39,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
ANDAMAN AND NICOBAR,2018-19,Dec - 2018,Inter State Inwards,926,8287,2711622205.57,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
PUDUCHERRY,2018-19,Dec - 2018,Inter State Inwards,4973,88335,25684491110.99,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
TAMIL NADU,2018-19,Dec - 2018,Inter State Inwards,99310,1515759,610653649053.68,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
KERALA,2018-19,Dec - 2018,Inter State Inwards,48855,680778,158123950392.42,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
LAKSHADWEEP,2018-19,Dec - 2018,Inter State Inwards,34,248,39771672.44,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
GOA,2018-19,Dec - 2018,Inter State Inwards,7017,102720,35792526061.38,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
KARNATAKA,2018-19,Dec - 2018,Inter State Inwards,91763,1366423,512341647586.1,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
MIZORAM,2018-19,Dec - 2018,Inter State Inwards,1367,13655,3202091005.15,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
MAHARASHTRA,2018-19,Dec - 2018,Inter State Inwards,178645,2247096,1006219657521.11,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
DADRA AND NAGAR HAVELI,2018-19,Dec - 2018,Inter State Inwards,2908,112979,76372829209.37,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
DAMAN AND DIU,2018-19,Dec - 2018,Inter State Inwards,2320,79211,44016815796.45,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
GUJARAT,2018-19,Dec - 2018,Inter State Inwards,116292,1390899,642499408132.62,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
SIKKIM,2018-19,Mar - 2019,Inter State Outwards,172,6809,1949.53,2019,"Calendar Year (Jan - Dec), 2019",201903,"March, 2019"
MADHYA PRADESH,2018-19,Dec - 2018,Inter State Inwards,62130,765049,240909529941.85,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
CHHATTISGARH,2018-19,Dec - 2018,Inter State Inwards,21062,322074,107383631066.88,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
ODISHA,2018-19,Dec - 2018,Inter State Inwards,26670,338890,148394667616.82,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
JHARKHAND,2018-19,Dec - 2018,Inter State Inwards,21696,319951,110343514753.39,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
WEST BENGAL,2018-19,Dec - 2018,Inter State Inwards,54770,810016,332351908006.29,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
ASSAM,2018-19,Dec - 2018,Inter State Inwards,21799,239839,82624744267.99,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
MEGHALAYA,2018-19,Dec - 2018,Inter State Inwards,2933,31029,6964622477.13,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
TRIPURA,2018-19,Dec - 2018,Inter State Inwards,3538,31436,7997557046.37,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
MANIPUR,2018-19,Dec - 2018,Inter State Inwards,2201,23695,5547978069.28,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
NAGALAND,2018-19,Dec - 2018,Inter State Inwards,2201,19532,4136555586.89,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
ARUNACHAL PRADESH,2018-19,Dec - 2018,Inter State Inwards,2138,21558,4082832590.6,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
BIHAR,2018-19,Dec - 2018,Inter State Inwards,47885,513436,130123333008.71,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
UTTAR PRADESH,2018-19,Dec - 2018,Inter State Inwards,156436,2008896,625373245386.63,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
RAJASTHAN,2018-19,Dec - 2018,Inter State Inwards,84116,963943,314935172952.87,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
DELHI,2018-19,Dec - 2018,Inter State Inwards,109211,1335376,434689828687.78,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
HARYANA,2018-19,Dec - 2018,Inter State Inwards,85064,1429066,537451540485.41,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
UTTARAKHAND,2018-19,Dec - 2018,Inter State Inwards,21590,407325,125048811443.8,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
CHANDIGARH,2018-19,Dec - 2018,Inter State Inwards,7940,104139,22343132779.08,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
PUNJAB,2018-19,Dec - 2018,Inter State Inwards,61918,740399,245461584706.82,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
HIMACHAL PRADESH,2018-19,Dec - 2018,Inter State Inwards,19386,266068,80093898324.02,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
JAMMU AND KASHMIR,2018-19,Dec - 2018,Inter State Inwards,16138,153341,43141157709.78,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
ANDHRA PRADESH,2018-19,Dec - 2018,Inter State Outwards,18884,370054,246211449321.35,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
TELANGANA,2018-19,Dec - 2018,Inter State Outwards,25677,499456,231576025132.34,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
ANDAMAN AND NICOBAR,2018-19,Dec - 2018,Inter State Outwards,45,137,935637740.37,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
PUDUCHERRY,2018-19,Dec - 2018,Inter State Outwards,1950,101954,30860045932.12,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
TAMIL NADU,2018-19,Dec - 2018,Inter State Outwards,62934,1641933,633506171814.99,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
KERALA,2018-19,Dec - 2018,Inter State Outwards,12772,155162,60027012498.58,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
LAKSHADWEEP,2018-19,Dec - 2018,Inter State Outwards,1,1,3,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
GOA,2018-19,Dec - 2018,Inter State Outwards,1466,55389,38992450409.08,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
KARNATAKA,2018-19,Dec - 2018,Inter State Outwards,42861,1248527,463372247942.44,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
MAHARASHTRA,2018-19,Dec - 2018,Inter State Outwards,99069,2922593,1055417260678.31,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
DADRA AND NAGAR HAVELI,2018-19,Dec - 2018,Inter State Outwards,1979,264359,98796123519.47,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
DAMAN AND DIU,2018-19,Dec - 2018,Inter State Outwards,1643,190353,50721856369.72,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
GUJARAT,2018-19,Dec - 2018,Inter State Outwards,115971,3562358,877291971377.09,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
MADHYA PRADESH,2018-19,Dec - 2018,Inter State Outwards,18105,390973,197496864342.83,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
CHHATTISGARH,2018-19,Dec - 2018,Inter State Outwards,7306,166106,108171873702.84,2018,"Calendar Year (Jan - Dec), 2018",201812,"December, 2018"
UTTAR PRADESH,2019-20,Dec - 2019,Inter State Inwards,158828,2048809,61021.605025948,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
LAKSHADWEEP,2019-20,Dec - 2019,Inter State Inwards,44,374,11.470004111,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
KERALA,2019-20,Dec - 2019,Inter State Inwards,47895,695412,14678.98877557,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
TAMIL NADU,2019-20,Dec - 2019,Inter State Inwards,100364,1569380,62516.48507839,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
PUDUCHERRY,2019-20,Dec - 2019,Inter State Inwards,5199,96083,2556.554523832,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ANDAMAN AND NICOBAR,2019-20,Dec - 2019,Inter State Inwards,811,8964,237.841637476,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
TELANGANA,2019-20,Dec - 2019,Inter State Inwards,55128,918515,28664.221240338,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ANDHRA PRADESH,2019-20,Dec - 2019,Inter State Inwards,66539,923351,28266.454557589,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
PUNJAB,2019-20,Dec - 2019,Intra State,58386,1416637,30011.198876705,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
CHANDIGARH,2019-20,Dec - 2019,Intra State,2068,24814,396.571300715,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
UTTARAKHAND,2019-20,Dec - 2019,Intra State,10615,474816,8084.507024721,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
HARYANA,2019-20,Dec - 2019,Intra State,61536,2405557,41462.613788544,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
DELHI,2019-20,Dec - 2019,Intra State,55284,780054,29224.51354998,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
RAJASTHAN,2019-20,Dec - 2019,Intra State,66017,1504669,31029.137798606,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
UTTAR PRADESH,2019-20,Dec - 2019,Intra State,102139,2834439,55951.98098775,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
BIHAR,2019-20,Dec - 2019,Intra State,6354,362404,6942.604197505,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
SIKKIM,2019-20,Dec - 2019,Intra State,112,3751,44.435922652,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ARUNACHAL PRADESH,2019-20,Dec - 2019,Intra State,111,2552,39.720554623,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
NAGALAND,2019-20,Dec - 2019,Intra State,80,803,30.022813469,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MANIPUR,2019-20,Dec - 2019,Intra State,46,4444,66.905342332,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MIZORAM,2019-20,Dec - 2019,Intra State,51,1187,67.774221554,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
TRIPURA,2019-20,Dec - 2019,Intra State,918,21622,378.455879108,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MEGHALAYA,2019-20,Dec - 2019,Intra State,274,11970,165.170734683,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ASSAM,2019-20,Dec - 2019,Intra State,9263,302285,5568.704671527,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
WEST BENGAL,2019-20,Dec - 2019,Intra State,36250,1276706,35113.264024187,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
JHARKHAND,2019-20,Dec - 2019,Intra State,7997,367058,8056.781986249,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ODISHA,2019-20,Dec - 2019,Intra State,11913,691294,12477.636157061,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
CHHATTISGARH,2019-20,Dec - 2019,Intra State,4897,185652,4782.862237535,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MADHYA PRADESH,2019-20,Dec - 2019,Intra State,15433,384233,8388.843464811,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
GUJARAT,2019-20,Dec - 2019,Intra State,117427,3386352,87581.856458692,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ODISHA,2019-20,Dec - 2019,Inter State Inwards,28261,371908,13868.244509549,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
JHARKHAND,2019-20,Dec - 2019,Inter State Inwards,22287,329829,9883.971973377,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
WEST BENGAL,2019-20,Dec - 2019,Inter State Inwards,55740,963202,33251.445460882,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ASSAM,2019-20,Dec - 2019,Inter State Inwards,20538,227097,7835.985689301,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MEGHALAYA,2019-20,Dec - 2019,Inter State Inwards,2809,32024,638.023166732,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
TRIPURA,2019-20,Dec - 2019,Inter State Inwards,3505,29586,706.004200942,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MIZORAM,2019-20,Dec - 2019,Inter State Inwards,1474,24124,365.82897075,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MANIPUR,2019-20,Dec - 2019,Inter State Inwards,2164,31745,529.861947502,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
NAGALAND,2019-20,Dec - 2019,Inter State Inwards,2066,19691,445.792931989,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ARUNACHAL PRADESH,2019-20,Dec - 2019,Inter State Inwards,2260,23657,405.15184542,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
SIKKIM,2019-20,Dec - 2019,Inter State Inwards,1436,27409,769.532294277,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
BIHAR,2019-20,Dec - 2019,Inter State Inwards,48676,562529,13188.559636495,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
RAJASTHAN,2019-20,Dec - 2019,Inter State Inwards,87339,1079966,31317.834605299,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
DELHI,2019-20,Dec - 2019,Inter State Inwards,108348,1382592,41683.834732109,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
JAMMU AND KASHMIR,2019-20,Dec - 2019,Intra State,1958,76706,1395.85838666,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
HARYANA,2019-20,Dec - 2019,Inter State Inwards,86449,1632506,51973.039006221,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
UTTARAKHAND,2019-20,Dec - 2019,Inter State Inwards,21460,406082,11522.079285201,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
CHANDIGARH,2019-20,Dec - 2019,Inter State Inwards,7799,108880,2219.520886257,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
PUNJAB,2019-20,Dec - 2019,Inter State Inwards,62077,761293,24573.622662218,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
HIMACHAL PRADESH,2019-20,Dec - 2019,Inter State Inwards,18905,268288,7903.650075344,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
JAMMU AND KASHMIR,2019-20,Dec - 2019,Inter State Inwards,15898,158332,4184.955328485,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ANDHRA PRADESH,2019-20,Dec - 2019,Inter State Outwards,20066,406018,27074.977773089,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
TELANGANA,2019-20,Dec - 2019,Inter State Outwards,28621,622112,24766.863989409,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ANDAMAN AND NICOBAR,2019-20,Dec - 2019,Inter State Outwards,51,153,15.195640652,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
PUDUCHERRY,2019-20,Dec - 2019,Inter State Outwards,1742,102197,3088.849657863,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
TAMIL NADU,2019-20,Dec - 2019,Inter State Outwards,63962,1723096,61929.12693451,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
KERALA,2019-20,Dec - 2019,Inter State Outwards,13188,164329,7566.009887839,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
LAKSHADWEEP,2019-20,Dec - 2019,Inter State Outwards,0,0,0,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
GOA,2019-20,Dec - 2019,Inter State Outwards,1491,51354,3559.955567907,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
KARNATAKA,2019-20,Dec - 2019,Inter State Outwards,43269,1421514,46220.141762727,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MAHARASHTRA,2019-20,Dec - 2019,Inter State Outwards,100388,3295539,104808.062947466,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
DADRA AND NAGAR HAVELI,2019-20,Dec - 2019,Inter State Outwards,1979,274682,9386.362927223,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
DAMAN AND DIU,2019-20,Dec - 2019,Inter State Outwards,1674,191028,4669.332182974,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
GUJARAT,2019-20,Dec - 2019,Inter State Outwards,120011,3788951,89851.860580674,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MADHYA PRADESH,2019-20,Dec - 2019,Inter State Outwards,18411,388214,18074.071748369,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
CHHATTISGARH,2019-20,Dec - 2019,Inter State Outwards,7495,170428,11156.172335239,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
GUJARAT,2019-20,Dec - 2019,Inter State Inwards,120724,1502452,66766.4590598,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ODISHA,2019-20,Dec - 2019,Inter State Outwards,5235,223875,17857.970103757,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
JHARKHAND,2019-20,Dec - 2019,Inter State Outwards,6873,197541,10272.7510434,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
WEST BENGAL,2019-20,Dec - 2019,Inter State Outwards,35324,624974,25510.291628737,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ASSAM,2019-20,Dec - 2019,Inter State Outwards,8028,153977,4859.522682075,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MEGHALAYA,2019-20,Dec - 2019,Inter State Outwards,331,27814,491.959753395,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
TRIPURA,2019-20,Dec - 2019,Inter State Outwards,332,2119,248.898609956,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MIZORAM,2019-20,Dec - 2019,Inter State Outwards,88,884,162.70113717,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MANIPUR,2019-20,Dec - 2019,Inter State Outwards,65,236,9.631282375,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
NAGALAND,2019-20,Dec - 2019,Inter State Outwards,241,2381,79.265208782,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ARUNACHAL PRADESH,2019-20,Dec - 2019,Inter State Outwards,168,1185,61.438240992,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
SIKKIM,2019-20,Dec - 2019,Inter State Outwards,172,9038,2248.089345766,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
BIHAR,2019-20,Dec - 2019,Inter State Outwards,6340,63721,2509.865430198,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
DAMAN AND DIU,2019-20,Dec - 2019,Inter State Inwards,2236,80568,4790.40724176,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
UTTAR PRADESH,2019-20,Dec - 2019,Inter State Outwards,69325,1250230,48352.544259492,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
RAJASTHAN,2019-20,Dec - 2019,Inter State Outwards,46201,1280667,29035.911632905,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
DELHI,2019-20,Dec - 2019,Inter State Outwards,114843,1496975,36410.582553268,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
HARYANA,2019-20,Dec - 2019,Inter State Outwards,53872,2360711,57613.578066354,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
UTTARAKHAND,2019-20,Dec - 2019,Inter State Outwards,7635,327283,15006.025033163,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
CHANDIGARH,2019-20,Dec - 2019,Inter State Outwards,4666,70251,1318.237705314,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
PUNJAB,2019-20,Dec - 2019,Inter State Outwards,46440,819687,21774.603464737,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
HIMACHAL PRADESH,2019-20,Dec - 2019,Inter State Outwards,4738,250913,9997.204500912,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
JAMMU AND KASHMIR,2019-20,Dec - 2019,Inter State Outwards,1681,29603,1925.236745954,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ANDHRA PRADESH,2019-20,Dec - 2019,Intra State,32633,1307841,22873.907796624,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
TELANGANA,2019-20,Dec - 2019,Intra State,32846,1396777,27249.165635947,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
ANDAMAN AND NICOBAR,2019-20,Dec - 2019,Intra State,12,187,5.910647875,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
PUDUCHERRY,2019-20,Dec - 2019,Intra State,941,31414,988.449008838,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
TAMIL NADU,2019-20,Dec - 2019,Intra State,73205,3237917,64066.047529206,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
KERALA,2019-20,Dec - 2019,Intra State,33733,1165294,16853.643336415,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
LAKSHADWEEP,2019-20,Dec - 2019,Intra State,0,0,0,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
GOA,2019-20,Dec - 2019,Intra State,1511,72853,1005.251072463,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
KARNATAKA,2019-20,Dec - 2019,Intra State,84215,3180236,54581.441669765,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MAHARASHTRA,2019-20,Dec - 2019,Intra State,116701,4921122,117116.628871389,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
DADRA AND NAGAR HAVELI,2019-20,Dec - 2019,Intra State,1312,59320,2069.782872322,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
DAMAN AND DIU,2019-20,Dec - 2019,Intra State,1090,37175,1075.333972861,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MADHYA PRADESH,2019-20,Dec - 2019,Inter State Inwards,63672,788583,22697.04082462,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
HIMACHAL PRADESH,2019-20,Dec - 2019,Intra State,6975,226634,4359.421497643,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
CHHATTISGARH,2019-20,Dec - 2019,Inter State Inwards,21429,367192,9921.01301623,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
DADRA AND NAGAR HAVELI,2019-20,Dec - 2019,Inter State Inwards,2842,117190,6929.945903188,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
MAHARASHTRA,2019-20,Dec - 2019,Inter State Inwards,180119,2453531,98503.364262118,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
KARNATAKA,2019-20,Dec - 2019,Inter State Inwards,97395,1563700,48496.522918115,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
GOA,2019-20,Dec - 2019,Inter State Inwards,6777,102250,3444.569862712,2019,"Calendar Year (Jan - Dec), 2019",201912,"December, 2019"
PUDUCHERRY,2020-21,Dec - 2020,Inter State Inwards,5004,100923,2631.4657,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020"
JAMMU AND KASHMIR,2020-21,Dec - 2020,Intra State,4529,150162,2444.2017,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020"
TAMIL NADU,2020-21,Dec - 2020,Inter State Inwards,106795,1927534,73355.8016,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020"
KERALA,2020-21,Dec - 2020,Inter State Inwards,50754,639138,17048.7751,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020"
LAKSHADWEEP,2020-21,Dec - 2020,Inter State Inwards,45,371,10.4136,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020"
GOA,2020-21,Dec - 2020,Inter State Inwards,6726,108773,3805.3957,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020"
KARNATAKA,2020-21,Dec - 2020,Inter State Inwards,103192,1768611,56642.7755,2020,"Calendar Year (Jan - Dec), 2020",202012,"December, 2020"
