srcStateName,srcYear,srcMonth,YearCode,Country,StateCode,Year,MonthCode,StateName,TotalPopulation,Month,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Jammu and Kashmir,2018-19,Aug-2018,2018,India,1,"Financial Year (Apr - Mar), 2018",201805,JAMMU AND KASHMIR,12265703,"August, 2018",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2018-19,Dec-2018,2018,India,1,"Financial Year (Apr - Mar), 2018",201809,JAMMU AND KASHMIR,12265703,"December, 2018",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2018-19,Feb-2019,2018,India,1,"Financial Year (Apr - Mar), 2018",201811,JAMMU AND KASHMIR,12265703,"February, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2018-19,Jan-2019,2018,India,1,"Financial Year (Apr - Mar), 2018",201810,JAMMU AND KASHMIR,12265703,"January, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2018-19,Jul-2018,2018,India,1,"Financial Year (Apr - Mar), 2018",201804,JAMMU AND KASHMIR,12265703,"July, 2018",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2018-19,Jun-2018,2018,India,1,"Financial Year (Apr - Mar), 2018",201803,JAMMU AND KASHMIR,12265703,"June, 2018",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2018-19,Mar-2019,2018,India,1,"Financial Year (Apr - Mar), 2018",201812,JAMMU AND KASHMIR,12265703,"March, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2018-19,May-2018,2018,India,1,"Financial Year (Apr - Mar), 2018",201802,JAMMU AND KASHMIR,12265703,"May, 2018",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2018-19,Nov-2018,2018,India,1,"Financial Year (Apr - Mar), 2018",201808,JAMMU AND KASHMIR,12265703,"November, 2018",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2018-19,Oct-2018,2018,India,1,"Financial Year (Apr - Mar), 2018",201807,JAMMU AND KASHMIR,12265703,"October, 2018",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2018-19,Sep-2018,2018,India,1,"Financial Year (Apr - Mar), 2018",201806,JAMMU AND KASHMIR,12265703,"September, 2018",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,Apr-2019,2019,India,1,"Financial Year (Apr - Mar), 2019",201901,JAMMU AND KASHMIR,12265703,"April, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,Aug-2019,2019,India,1,"Financial Year (Apr - Mar), 2019",201905,JAMMU AND KASHMIR,12265703,"August, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,Dec-2019,2019,India,1,"Financial Year (Apr - Mar), 2019",201909,JAMMU AND KASHMIR,12265703,"December, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,Feb-2020,2019,India,1,"Financial Year (Apr - Mar), 2019",201911,JAMMU AND KASHMIR,12265703,"February, 2020",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,Jan-2020,2019,India,1,"Financial Year (Apr - Mar), 2019",201910,JAMMU AND KASHMIR,12265703,"January, 2020",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,Jul-2019,2019,India,1,"Financial Year (Apr - Mar), 2019",201904,JAMMU AND KASHMIR,12265703,"July, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,Jun-2019,2019,India,1,"Financial Year (Apr - Mar), 2019",201903,JAMMU AND KASHMIR,12265703,"June, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,Mar-2020,2019,India,1,"Financial Year (Apr - Mar), 2019",201912,JAMMU AND KASHMIR,12265703,"March, 2020",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,May-2019,2019,India,1,"Financial Year (Apr - Mar), 2019",201902,JAMMU AND KASHMIR,12265703,"May, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,Nov-2019,2019,India,1,"Financial Year (Apr - Mar), 2019",201908,JAMMU AND KASHMIR,12265703,"November, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,Oct-2019,2019,India,1,"Financial Year (Apr - Mar), 2019",201907,JAMMU AND KASHMIR,12265703,"October, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2019-20,Sep-2019,2019,India,1,"Financial Year (Apr - Mar), 2019",201906,JAMMU AND KASHMIR,12265703,"September, 2019",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2020-21,Apr-2020,2020,India,1,"Financial Year (Apr - Mar), 2020",202001,JAMMU AND KASHMIR,12265703,"April, 2020",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2020-21,Aug-2020,2020,India,1,"Financial Year (Apr - Mar), 2020",202005,JAMMU AND KASHMIR,12265703,"August, 2020",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2020-21,Dec-2020,2020,India,1,"Financial Year (Apr - Mar), 2020",202009,JAMMU AND KASHMIR,12265703,"December, 2020",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2020-21,Feb-2021,2020,India,1,"Financial Year (Apr - Mar), 2020",202011,JAMMU AND KASHMIR,12265703,"February, 2021",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2020-21,Jan-2021,2020,India,1,"Financial Year (Apr - Mar), 2020",202010,JAMMU AND KASHMIR,12265703,"January, 2021",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jammu and Kashmir,2020-21,Jul-2020,2020,India,1,"Financial Year (Apr - Mar), 2020",202004,JAMMU AND KASHMIR,12265703,"July, 2020",3371233,8894470,6483156,1825543,4657613,5782547,1545690,4236857,2079191,557090,1522101,121337,2.21397e+06,2335311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
