srcStateName,srcYear,srcMonth,GST ( Goods and Service Tax ) Return Type,Payer eligible for GST ( Goods and Service Tax ) registration,GST ( Goods and Service Tax ) Payers registered before due date,GST ( Goods and Service Tax ) Payers registered after due date,YearCode,Year,MonthCode,Month
Gujarat,2017-18,Aug-2017,GSTR-3,641658,248716,381814,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Punjab,2017-18,Aug-2017,GSTR-1,86189,70068,2372,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Tamil Nadu,2017-18,Aug-2017,GSTR-1,436886,345177,34226,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Madhya Pradesh,2017-18,Aug-2017,GSTR-3,276943,72970,197059,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Bihar,2017-18,Aug-2017,GSTR-1,84976,49200,10418,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Andaman and Nicobar Islands,2017-18,Aug-2017,GSTR-3,3574,347,2619,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Punjab,2017-18,Aug-2017,GSTR-3,239311,146224,85978,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Telangana,2017-18,Aug-2017,GSTR-1,142285,105888,13421,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Chhattisgarh,2017-18,Aug-2017,GSTR-3,90219,26288,58702,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Puducherry,2017-18,Aug-2017,GSTR-3,15013,5280,9602,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Tripura,2017-18,Aug-2017,GSTR-1,6493,4496,705,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Nagaland,2017-18,Aug-2017,GSTR-1,3140,1564,650,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Gujarat,2017-18,Aug-2017,GSTR-1,224696,196120,8214,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Odisha,2017-18,Aug-2017,GSTR-3,154796,43923,101742,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Jharkhand,2017-18,Aug-2017,GSTR-3,95439,33373,57282,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Assam,2017-18,Aug-2017,GSTR-1,56748,29892,6868,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Uttar Pradesh,2017-18,Aug-2017,GSTR-1,278909,200539,19415,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Meghalaya,2017-18,Aug-2017,GSTR-1,7595,4171,1282,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
Odisha,2017-18,Aug-2017,GSTR-1,57678,36623,6512,2017,"Financial Year (Apr - Mar), 2017",201705,"August, 2017"
