srcStateName,srcYear,srcMonth,GST ( Goods and Service Tax ) Return Type,Payer eligible for GST ( Goods and Service Tax ) registration,GST ( Goods and Service Tax ) Payers registered before due date,GST ( Goods and Service Tax ) Payers registered after due date,YearCode,Year,MonthCode,Month
Haryana,2017-18,Oct-2017,GSTR-3,306332,193777,103023,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Andhra Pradesh,2017-18,Oct-2017,GSTR-1,129192,102060,11508,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Goa,2017-18,Oct-2017,GSTR-1,11292,8877,1100,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Delhi,2017-18,Oct-2017,GSTR-3,532973,312738,207332,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Chandigarh,2017-18,Oct-2017,GSTR-1,9465,8211,405,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Rajasthan,2017-18,Oct-2017,GSTR-3,418736,252332,153904,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Uttar Pradesh,2017-18,Oct-2017,GSTR-3,809536,486652,283799,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Bihar,2017-18,Oct-2017,GSTR-3,205062,92955,94028,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Kerala,2017-18,Oct-2017,GSTR-1,127401,108168,13084,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Karnataka,2017-18,Oct-2017,GSTR-1,318679,248455,34693,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Uttarakhand,2017-18,Oct-2017,GSTR-1,34094,23403,3327,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Sikkim,2017-18,Oct-2017,GSTR-3,3745,1818,1762,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Arunachal Pradesh,2017-18,Oct-2017,GSTR-3,6212,1478,3887,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Nagaland,2017-18,Oct-2017,GSTR-3,4750,938,3124,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Haryana,2017-18,Oct-2017,GSTR-1,109560,93762,4297,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Maharashtra,2017-18,Oct-2017,GSTR-1,338572,281860,26156,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Tamil Nadu,2017-18,Oct-2017,GSTR-1,444591,351203,38337,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Manipur,2017-18,Oct-2017,GSTR-3,6945,1425,4292,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Jammu and Kashmir,2017-18,Oct-2017,GSTR-1,25413,18405,2723,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Mizoram,2017-18,Oct-2017,GSTR-3,3491,1012,2042,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Tripura,2017-18,Oct-2017,GSTR-3,16060,7554,7367,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Delhi,2017-18,Oct-2017,GSTR-1,164695,136316,9203,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Ladakh,2017-18,Oct-2017,GSTR-1,0,0,0,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Meghalaya,2017-18,Oct-2017,GSTR-3,14641,5305,7705,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Assam,2017-18,Oct-2017,GSTR-3,110497,37783,57658,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Dadra and Nagar Haveli,2017-18,Oct-2017,GSTR-1,3324,2943,112,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Puducherry,2017-18,Oct-2017,GSTR-1,9544,7581,1084,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
West Bengal,2017-18,Oct-2017,GSTR-3,422302,243472,159943,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Rajasthan,2017-18,Oct-2017,GSTR-1,119115,98715,6254,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Punjab,2017-18,Oct-2017,GSTR-3,247069,184296,56837,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Himachal Pradesh,2017-18,Oct-2017,GSTR-1,21474,16263,1705,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Jharkhand,2017-18,Oct-2017,GSTR-3,101040,56454,39421,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Odisha,2017-18,Oct-2017,GSTR-3,159167,75101,71324,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Daman and Diu,2017-18,Oct-2017,GSTR-1,2614,2318,118,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Chhattisgarh,2017-18,Oct-2017,GSTR-3,87850,34199,47687,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Uttar Pradesh,2017-18,Oct-2017,GSTR-1,272330,205339,22478,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Madhya Pradesh,2017-18,Oct-2017,GSTR-3,274212,135768,126996,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Gujarat,2017-18,Oct-2017,GSTR-3,673475,390745,272061,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Daman and Diu,2017-18,Oct-2017,GSTR-3,5091,2853,2096,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Bihar,2017-18,Oct-2017,GSTR-1,80757,49283,11529,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Gujarat,2017-18,Oct-2017,GSTR-1,225967,202803,9611,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Dadra and Nagar Haveli,2017-18,Oct-2017,GSTR-3,6534,3614,2650,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Maharashtra,2017-18,Oct-2017,GSTR-3,1054857,585598,446969,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Sikkim,2017-18,Oct-2017,GSTR-1,1925,1407,273,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Himachal Pradesh,2017-18,Oct-2017,GSTR-3,58791,31696,24081,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Karnataka,2017-18,Oct-2017,GSTR-3,537199,317680,196836,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Goa,2017-18,Oct-2017,GSTR-3,25168,12599,11385,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Madhya Pradesh,2017-18,Oct-2017,GSTR-1,95518,73937,8162,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Lakshadweep,2017-18,Oct-2017,GSTR-3,250,69,106,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Arunachal Pradesh,2017-18,Oct-2017,GSTR-1,3316,1828,552,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Kerala,2017-18,Oct-2017,GSTR-3,227665,131417,92383,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Jammu and Kashmir,2017-18,Oct-2017,GSTR-3,62319,33108,25952,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017"
Himachal Pradesh,2017-18,Sep-2017,GSTR-1,61691,46919,9459,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Tamil Nadu,2017-18,Sep-2017,GSTR-3,700632,324032,341334,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Chhattisgarh,2017-18,Sep-2017,GSTR-3,93983,30665,57625,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Haryana,2017-18,Sep-2017,GSTR-1,302837,237446,49073,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Telangana,2017-18,Sep-2017,GSTR-1,234895,168714,34385,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Chhattisgarh,2017-18,Sep-2017,GSTR-1,93983,60376,20395,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Arunachal Pradesh,2017-18,Sep-2017,GSTR-1,6068,3443,1263,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Ladakh,2017-18,Sep-2017,GSTR-1,0,0,0,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Manipur,2017-18,Sep-2017,GSTR-3,6564,1211,4276,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Madhya Pradesh,2017-18,Sep-2017,GSTR-3,290350,114822,166047,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Nagaland,2017-18,Sep-2017,GSTR-1,4915,2592,1186,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Maharashtra,2017-18,Sep-2017,GSTR-3,1060520,557237,484926,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Puducherry,2017-18,Sep-2017,GSTR-3,15568,8023,7402,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Jammu and Kashmir,2017-18,Sep-2017,GSTR-1,62528,44930,10753,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Andaman and Nicobar Islands,2017-18,Sep-2017,GSTR-3,3908,416,2819,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Mizoram,2017-18,Sep-2017,GSTR-3,3300,789,2129,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Chandigarh,2017-18,Sep-2017,GSTR-3,23418,15474,7828,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Odisha,2017-18,Sep-2017,GSTR-1,162133,104518,34312,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Gujarat,2017-18,Sep-2017,GSTR-3,682019,348917,322736,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Telangana,2017-18,Sep-2017,GSTR-3,234895,90635,131854,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Tripura,2017-18,Sep-2017,GSTR-3,16398,5532,9799,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Madhya Pradesh,2017-18,Sep-2017,GSTR-1,290350,212157,52958,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Punjab,2017-18,Sep-2017,GSTR-3,247374,175334,67646,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Manipur,2017-18,Sep-2017,GSTR-1,6564,3787,1137,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Andhra Pradesh,2017-18,Sep-2017,GSTR-3,216950,109070,99929,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Jammu and Kashmir,2017-18,Sep-2017,GSTR-3,62528,28171,31411,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Delhi,2017-18,Sep-2017,GSTR-1,521051,425161,72997,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Ladakh,2017-18,Sep-2017,GSTR-3,,,,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Puducherry,2017-18,Sep-2017,GSTR-1,15568,11649,2569,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Mizoram,2017-18,Sep-2017,GSTR-1,3300,2101,521,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Punjab,2017-18,Sep-2017,GSTR-1,247374,208887,26097,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Jharkhand,2017-18,Sep-2017,GSTR-1,100685,73455,17150,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Meghalaya,2017-18,Sep-2017,GSTR-3,14696,3598,9448,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Gujarat,2017-18,Sep-2017,GSTR-1,682019,561269,94150,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Dadra and Nagar Haveli,2017-18,Sep-2017,GSTR-1,6403,5319,734,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Tripura,2017-18,Sep-2017,GSTR-1,16398,11658,2791,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Lakshadweep,2017-18,Sep-2017,GSTR-3,258,64,119,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Meghalaya,2017-18,Sep-2017,GSTR-1,14696,8521,3134,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Bihar,2017-18,Sep-2017,GSTR-1,222312,140800,48486,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Assam,2017-18,Sep-2017,GSTR-1,114311,64329,25970,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Assam,2017-18,Sep-2017,GSTR-3,114311,29949,69205,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Uttarakhand,2017-18,Sep-2017,GSTR-3,100078,36786,56685,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
West Bengal,2017-18,Sep-2017,GSTR-1,416031,334128,50080,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Lakshadweep,2017-18,Sep-2017,GSTR-1,258,96,55,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Daman and Diu,2017-18,Sep-2017,GSTR-3,5056,2739,2210,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Goa,2017-18,Sep-2017,GSTR-1,25339,20038,3407,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Karnataka,2017-18,Sep-2017,GSTR-3,553919,285816,252171,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Haryana,2017-18,Sep-2017,GSTR-3,302837,170439,125974,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Dadra and Nagar Haveli,2017-18,Sep-2017,GSTR-3,6403,3363,2827,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Delhi,2017-18,Sep-2017,GSTR-3,521051,290005,226629,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Rajasthan,2017-18,Sep-2017,GSTR-1,435929,333154,77502,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Kerala,2017-18,Sep-2017,GSTR-1,233233,187432,34637,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Chandigarh,2017-18,Sep-2017,GSTR-1,23418,18942,3407,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
West Bengal,2017-18,Sep-2017,GSTR-3,416031,206247,195248,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Rajasthan,2017-18,Sep-2017,GSTR-3,435929,225342,199930,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Andhra Pradesh,2017-18,Sep-2017,GSTR-1,216950,158358,33239,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Uttar Pradesh,2017-18,Sep-2017,GSTR-3,887856,446715,403489,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Jharkhand,2017-18,Sep-2017,GSTR-3,100685,50897,45425,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Himachal Pradesh,2017-18,Sep-2017,GSTR-3,61691,30755,28220,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Karnataka,2017-18,Sep-2017,GSTR-1,553919,400740,92278,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Odisha,2017-18,Sep-2017,GSTR-3,162133,64338,87602,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Bihar,2017-18,Sep-2017,GSTR-3,222312,78700,125266,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Daman and Diu,2017-18,Sep-2017,GSTR-1,5056,4154,659,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Andaman and Nicobar Islands,2017-18,Sep-2017,GSTR-1,3908,1809,1013,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Uttarakhand,2017-18,Sep-2017,GSTR-1,100078,66450,20736,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Kerala,2017-18,Sep-2017,GSTR-3,233233,117016,114184,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Sikkim,2017-18,Sep-2017,GSTR-3,3804,1527,2110,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Goa,2017-18,Sep-2017,GSTR-3,25339,11312,13111,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Arunachal Pradesh,2017-18,Sep-2017,GSTR-3,6068,1075,4122,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Tamil Nadu,2017-18,Sep-2017,GSTR-1,700632,523129,99346,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Sikkim,2017-18,Sep-2017,GSTR-1,3804,2770,640,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Nagaland,2017-18,Sep-2017,GSTR-3,4915,772,3461,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Uttar Pradesh,2017-18,Sep-2017,GSTR-1,887856,632208,166374,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Maharashtra,2017-18,Sep-2017,GSTR-1,1060520,813583,189383,2017,"Financial Year (Apr - Mar), 2017",201706,"September, 2017"
Ladakh,2018-19,Apr-2018,GSTR-1,,,,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Tripura,2018-19,Apr-2018,GSTR-3,17899,7031,9170,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Odisha,2018-19,Apr-2018,GSTR-1,94847,38787,14303,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Bihar,2018-19,Apr-2018,GSTR-3,240037,80364,135841,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Meghalaya,2018-19,Apr-2018,GSTR-3,17088,6082,8463,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Assam,2018-19,Apr-2018,GSTR-1,82961,27172,14574,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Uttar Pradesh,2018-19,Apr-2018,GSTR-3,942586,450409,416453,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Assam,2018-19,Apr-2018,GSTR-3,126325,28557,75863,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Karnataka,2018-19,Apr-2018,GSTR-1,424107,251824,64846,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Jammu and Kashmir,2018-19,Apr-2018,GSTR-1,37744,18332,5805,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
West Bengal,2018-19,Apr-2018,GSTR-3,480142,213214,238710,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Himachal Pradesh,2018-19,Apr-2018,GSTR-1,27825,15122,2693,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Jharkhand,2018-19,Apr-2018,GSTR-3,120029,41166,69298,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Rajasthan,2018-19,Apr-2018,GSTR-3,468999,197238,242309,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Odisha,2018-19,Apr-2018,GSTR-3,186559,75404,90261,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Punjab,2018-19,Apr-2018,GSTR-1,99334,70237,4859,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Chhattisgarh,2018-19,Apr-2018,GSTR-3,94342,25807,60588,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Tripura,2018-19,Apr-2018,GSTR-1,10147,4532,1387,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Chandigarh,2018-19,Apr-2018,GSTR-1,11692,7816,674,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Delhi,2018-19,Apr-2018,GSTR-3,623319,217422,345369,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Madhya Pradesh,2018-19,Apr-2018,GSTR-3,307116,104736,182282,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Goa,2018-19,Apr-2018,GSTR-1,16168,8365,2088,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Uttarakhand,2018-19,Apr-2018,GSTR-1,52360,22341,5832,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Gujarat,2018-19,Apr-2018,GSTR-3,763767,321428,401710,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Daman and Diu,2018-19,Apr-2018,GSTR-3,5554,2005,3193,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Haryana,2018-19,Apr-2018,GSTR-3,360761,154097,177434,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Dadra and Nagar Haveli,2018-19,Apr-2018,GSTR-3,7237,2472,4304,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Mizoram,2018-19,Apr-2018,GSTR-1,3433,1566,507,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Haryana,2018-19,Apr-2018,GSTR-1,155733,97411,10145,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Delhi,2018-19,Apr-2018,GSTR-1,255883,132080,20250,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Maharashtra,2018-19,Apr-2018,GSTR-3,1232934,482101,634806,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Karnataka,2018-19,Apr-2018,GSTR-3,617485,195567,356468,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Chhattisgarh,2018-19,Apr-2018,GSTR-1,50487,23163,9162,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Uttarakhand,2018-19,Apr-2018,GSTR-3,111971,43545,54871,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Lakshadweep,2018-19,Apr-2018,GSTR-1,230,43,35,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Rajasthan,2018-19,Apr-2018,GSTR-1,181698,98521,13843,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Goa,2018-19,Apr-2018,GSTR-3,27947,9495,16275,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Uttar Pradesh,2018-19,Apr-2018,GSTR-1,383357,213362,43603,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Lakshadweep,2018-19,Apr-2018,GSTR-3,269,32,139,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Jharkhand,2018-19,Apr-2018,GSTR-1,63614,32938,10415,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Chandigarh,2018-19,Apr-2018,GSTR-3,26258,11339,12983,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Kerala,2018-19,Apr-2018,GSTR-3,252153,84905,154038,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Bihar,2018-19,Apr-2018,GSTR-1,118734,45439,21495,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Tamil Nadu,2018-19,Apr-2018,GSTR-3,812490,305086,385374,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Sikkim,2018-19,Apr-2018,GSTR-1,2909,1520,548,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Puducherry,2018-19,Apr-2018,GSTR-3,18797,6729,9638,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Punjab,2018-19,Apr-2018,GSTR-3,272274,114352,142944,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Kerala,2018-19,Apr-2018,GSTR-1,164412,108519,26222,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Andaman and Nicobar Islands,2018-19,Apr-2018,GSTR-3,4376,648,2725,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Arunachal Pradesh,2018-19,Apr-2018,GSTR-1,6115,1680,1110,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Telangana,2018-19,Apr-2018,GSTR-3,265527,92872,145359,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Himachal Pradesh,2018-19,Apr-2018,GSTR-3,69050,31904,33357,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Nagaland,2018-19,Apr-2018,GSTR-1,4189,1429,1065,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Andhra Pradesh,2018-19,Apr-2018,GSTR-3,240045,93259,119154,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Manipur,2018-19,Apr-2018,GSTR-1,6901,2210,1146,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Ladakh,2018-19,Apr-2018,GSTR-3,,,,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Tamil Nadu,2018-19,Apr-2018,GSTR-1,613309,374752,75531,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Jammu and Kashmir,2018-19,Apr-2018,GSTR-3,72923,25835,41984,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Puducherry,2018-19,Apr-2018,GSTR-1,13982,8169,2153,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
West Bengal,2018-19,Apr-2018,GSTR-1,219583,119835,29254,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Andaman and Nicobar Islands,2018-19,Apr-2018,GSTR-1,3696,950,835,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Telangana,2018-19,Apr-2018,GSTR-1,193853,112512,32315,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Andhra Pradesh,2018-19,Apr-2018,GSTR-1,171611,110358,21982,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Madhya Pradesh,2018-19,Apr-2018,GSTR-1,136612,73253,18260,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Gujarat,2018-19,Apr-2018,GSTR-1,313968,205173,21851,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Daman and Diu,2018-19,Apr-2018,GSTR-1,3464,2391,217,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Dadra and Nagar Haveli,2018-19,Apr-2018,GSTR-1,4230,2848,256,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Nagaland,2018-19,Apr-2018,GSTR-3,5114,888,3316,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Meghalaya,2018-19,Apr-2018,GSTR-1,11348,3870,2182,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Ladakh,2019-20,Aug-2019,GSTR-3,0,0,0,2019,"Financial Year (Apr - Mar), 2019",201905,"August, 2019"
Maharashtra,2018-19,Apr-2018,GSTR-1,555732,266147,56321,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Arunachal Pradesh,2018-19,Apr-2018,GSTR-3,8478,1756,5271,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Manipur,2018-19,Apr-2018,GSTR-3,8990,1670,5198,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Mizoram,2018-19,Apr-2018,GSTR-3,4276,1306,2138,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Sikkim,2018-19,Apr-2018,GSTR-3,4627,1580,2736,2018,"Financial Year (Apr - Mar), 2018",201801,"April, 2018"
Bihar,2018-19,Aug-2018,GSTR-1,128175,39292,31757,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Assam,2018-19,Aug-2018,GSTR-3,142710,58301,55858,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Haryana,2018-19,Aug-2018,GSTR-1,165152,87089,24018,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
